,E Series Sensor Data,Linear Regression Prediction,Reference pm Measurement
546,1.782505747,1.498447072,1
547,1.473655172,1.379360164,1
548,2.140804598,1.712964778,2
549,1.279218391,1.290008432,2
550,1.330454023,1.326153543,1
551,0.86541954,1.051040158,0
552,0.210224138,0.619074263,0
553,0.496632184,0.776601442,2
554,0.659005747,0.917627037,3
555,0.835264368,1.01874887,1
556,1.296931034,1.279772782,3
557,1.217465517,1.261879837,2
558,2.874568966,2.294553603,5
559,11.35333333,7.447037599,11
560,16.26520468,10.41256656,15
561,13.37982759,8.676314433,12
562,5.505689655,3.874162502,9
563,6.497356322,4.47613063,5
564,4.973793103,3.543905654,3
565,7.650287356,5.168236878,8
566,5.95637931,4.139362874,6
567,8.081896552,5.405583136,10
568,5.442241379,3.809608766,7
569,8.487528736,5.661961331,5
570,6.865402299,4.678735275,5
571,10.57948276,6.922543198,7
572,14.81821839,9.493777284,12
573,24.09827586,15.12786201,12
574,23.02287356,14.45136808,16
575,14.03313793,9.034610251,7
576,0.671931034,0.849366434,4
577,1.284511494,1.212616707,1
578,1.23804023,1.177533849,1
579,0.897022989,0.990963464,0
580,0.550304598,0.747978261,0
581,0.613977011,0.809937639,1
582,0.760057471,0.885713213,3
583,0.608718391,0.845826717,2
584,0.592925287,0.793503983,1
585,0.593885057,0.829859437,0
586,0.905643678,0.925923308,0
587,0.63266092,0.81630264,0
588,0.940149425,1.042770784,0
589,0.763425287,0.898917789,3
590,1.521477011,1.363002555,3
591,3.485626437,2.554339513,2
592,4.647586207,3.260227016,5
593,2.599091954,2.017903016,6
594,1.795711864,1.513578908,3
595,2.015525424,1.66309144,0
596,2.037402299,1.67703685,0
597,2.466505747,1.902680899,0
598,1.977494253,1.620003402,0
599,1.496126437,1.381597576,0
600,2.593505747,2.004270347,1
601,5.335574713,3.688708255,6
602,7.227528736,4.818436443,9
603,4.883873563,3.39698936,6
604,2.713953216,2.113164893,2
605,7.729252874,5.114292919,2
606,36.15477011,22.40160815,11
607,40.86563218,25.28637025,12
608,13.71367816,8.773021996,10
609,6.662281609,4.502704161,6
610,1.826568966,1.617058764,4
611,1.665689655,1.456709713,3
612,1.492810345,1.41906751,0
613,3.230373563,2.452896579,0
614,2.161413793,1.771134461,0
615,1.530649425,1.379360618,2
616,2.753804598,2.141780858,2
617,3.452741379,2.556602094,1
618,2.995775862,2.29153401,0
619,2.346626437,1.904137026,0
620,9.731494253,6.386421621,5
621,21.42747126,13.48759576,10
622,15.62494253,9.962730531,8
623,54.27017241,33.42362641,18
624,14.46494253,9.246322692,7
625,14.44724138,9.234697896,9
626,10.79729885,6.990065182,6
627,15.9895977,10.15026812,6
628,17.00178161,10.76533374,7
629,16.70264368,10.59003975,7
630,20.9695977,13.16656555,10
631,1.05944898,1.097202598,0
632,1.673948276,1.514778783,0
633,1.455482759,1.346579892,7
634,2.162310345,1.851758903,5
635,2.54887931,2.087057526,3
636,11.14051724,7.266659917,2
637,9.519844828,6.406795533,6
638,9.341534483,6.291560669,5
639,4.5,3.362949914,4
640,19.72931034,12.61057177,7
641,10.592,7.070201763,8
642,9.927189655,6.671649309,8
643,14.09837931,9.200679869,7
644,18.10534483,11.63109303,16
645,14.66665517,9.526986563,9
646,12.21568966,8.034636907,12
647,54.9262069,33.95762976,34
648,44.72534483,27.74528795,23
649,28.23017241,17.71443474,18
650,22.16241379,14.01969506,10
651,24.44413793,15.39029132,15
652,41.8937931,25.96860374,18
653,77.96086207,47.86171194,32
654,54.63155172,33.7039005,25
655,63.09155172,38.82364262,33
656,34.69672414,21.59139014,16
657,14.26377966,9.146995339,6
658,6.672372881,4.549421103,2
659,12.36941379,7.988276459,0
660,21.59332759,13.56901445,10
661,8.870844828,5.914527955,8
662,2.017189655,1.73166326,3
663,1.853482759,1.608486576,2
664,1.169517241,1.184970833,1
665,0.714086207,0.914140638,0
666,0.755724138,0.92217824,0
667,0.962655172,1.108709433,0
668,0.813241379,0.935040247,1
669,0.850603448,0.961404906,0
670,1.224189655,1.218625338,0
671,4.265862069,3.046392728,3
672,2.484241379,1.950407453,4
673,1.929568966,1.665345288,3
674,1.208258621,1.230098297,2
675,0.701103448,0.916530075,1
676,3.632103448,2.662606215,4
677,3.305982759,2.476330579,4
678,1.772931034,1.529998113,2
679,1.727,1.475793142,0
680,0.791689655,0.918681066,2
681,0.494293103,0.767533209,2
682,1.244327586,1.219175606,1
683,0.965482759,1.02459539,2
684,1.073241379,1.087605153,2
685,0.864982759,0.989048706,1
686,6.3295,4.314111366,1
687,3.153724138,2.37829747,3
688,1.314655172,1.274793475,2
689,1.152206897,1.128307479,1
690,0.614982759,0.884850283,0
691,0.866396552,0.939105224,0
692,0.655189655,0.902560681,1
693,0.964051724,1.093744883,0
694,1.566137931,1.461619365,2
695,1.099103448,1.140483499,1
696,0.949724138,1.035727362,0
697,1.091931034,1.120678997,3
698,1.182465517,1.165525918,2
699,1.09762069,1.165925645,1
700,1.369258621,1.275925765,1
701,0.987103448,1.038567833,1
702,0.941068966,1.011342576,0
703,0.801741379,0.921498062,0
704,0.984189655,1.023544221,1
705,0.997068966,1.031808262,1
706,1.014362069,1.040960464,0
707,1.010017241,0.995329144,0
708,0.844827586,0.890313139,0
709,1.124896552,1.057417374,0
710,1.38840678,1.210673815,0
711,1.221711864,1.084384117,1
712,1.334789474,1.199776654,1
713,1.195362069,1.066092893,1
714,1.300275862,1.167237763,0
715,1.255689655,1.099760158,0
716,1.508672414,1.252337433,0
717,3.659586207,2.582819195,2
718,4.780172414,3.251342232,3
719,10.0677069,6.47381703,7
720,10.45546552,6.661927076,6
721,22.99896552,14.29374942,14
722,22.35344828,13.86259144,14
723,17.56517241,10.97571591,15
724,31.47655172,19.42459562,10
725,16.15746552,10.11315069,12
726,43.26810345,26.58073887,22
727,47.70706897,29.27259413,24
728,24.56568966,15.21037712,8
729,28.93775862,17.87098214,14
730,26.81482759,16.57423006,13
731,15.40944828,9.644946892,7
732,9.629724138,6.138103854,5
733,13.41965517,8.458397434,8
734,22.2862069,13.85009599,18
735,17.17965517,10.75288491,10
736,25.12637931,15.58674278,13
737,10.336,6.589930425,10
