dt_hour,e_series_pm,ambient_Temp_C_Mean,rh_pct_Mean,BarometricPressure_mbar_Mean,airport_wind_spd_kmh,airport_wind_dir,wind_x,wind_y,season_Autumn,season_Spring,season_Summer,season_Winter,reference_pm
2015-11-12 20:00,1.34433908,-3.306758621,34.4987931,901,5,30,0.771257249,-4.94015812,0,0,0,1,0
2015-11-12 21:00,2.545873563,-4.593586207,34.35189655,901.3103448,10,350,-2.836332792,-9.58932825,0,0,0,1,1
2015-11-12 22:00,2.454694444,-5.559916667,34.27516667,902,14,350,-3.970865909,-13.42505955,0,0,0,1,2
2015-11-12 23:00,1.978333333,-6.769413793,34.2887931,902.6206897,15,340,11.39502465,9.754661102,0,0,0,1,3
2015-11-13 0:00,2.423729885,-7.612189655,34.16362069,903.1896552,13,340,9.87568803,8.454039622,0,0,0,1,3
2015-11-13 1:00,1.480867816,-8.171896552,33.68086207,904,15,340,11.39502465,9.754661102,0,0,0,1,1
2015-11-13 2:00,1.110149425,-8.591896552,30.55586207,904.7931034,12,340,9.11601972,7.803728882,0,0,0,1,1
2015-11-13 3:00,0.899425287,-8.849137931,32.73534483,905.4482759,18,350,-5.105399025,-17.26079085,0,0,0,1,1
2015-11-13 4:00,1.035442529,-9.332586207,31.50862069,906,13,340,9.87568803,8.454039622,0,0,0,1,2
2015-11-13 5:00,1.091471264,-9.47137931,32.37637931,906.5172414,13,330,-12.88558468,-1.72096118,0,0,0,1,1
2015-11-13 6:00,0.499022989,-9.951551724,33.20275862,907,10,350,-2.836332792,-9.58932825,0,0,0,1,0
2015-11-13 7:00,0.883609195,-10.42551724,32.09482759,907.7068966,17,340,12.91436127,11.05528258,0,0,0,1,0
2015-11-13 8:00,1.55562069,-10.39448276,30.42965517,908.0172414,16,350,-4.538132467,-15.3429252,0,0,0,1,1
2015-11-13 9:00,1.302655172,-10.46431034,30.78155172,909,13,360,-3.687984189,12.4659044,0,0,0,1,2
2015-11-13 10:00,1.394672414,-10.53775862,31.01293103,909.8965517,19,340,14.43369789,12.35590406,0,0,0,1,1
2015-11-13 11:00,1.029701149,-10.49465517,29.6737931,910.5517241,18,350,-5.105399025,-17.26079085,0,0,0,1,1
2015-11-13 12:00,2.769873563,-10.59086207,30.52896552,911.0689655,14,340,10.63535634,9.104350362,0,0,0,1,1
2015-11-13 13:00,1.602988506,-10.86586207,32.0287931,912,20,350,-5.672665584,-19.1786565,0,0,0,1,1
2015-11-13 14:00,1.285902299,-10.97051724,32.15948276,912.8793103,18,350,-5.105399025,-17.26079085,0,0,0,1,1
2015-11-13 15:00,1.108718391,-11.05586207,31.43810345,913.0344828,17,350,-4.821765746,-16.30185803,0,0,0,1,1
2015-11-13 16:00,1.193982759,-11.26258621,30.49,914,16,360,-4.539057464,15.34265157,0,0,0,1,1
