Timestamp,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],NO2[ppb],Pressure[Pa],Airpointer_NO2[ppb],Airpointer_O3[ppb],Airpointer_Temperature[degC],Airpointer_NO[ppb],Airpointer_NOx[ppb],Airpointer_PM10[ppb],Airpointer_PM2.5[ppb],Airpointer_PM10-2.5[ppb],Airpointer_Humidity[percent]
2020-05-11 10:00,7.936333333,62.3125,3.766111111,7.587777778,10.11722222,50.944,99.19294444,99391.56778,3.8085,24.82316667,4.834,2.1515,4.834,4.139,3.054166667,1.083833333,77.10416667
2020-05-11 11:00,9.929833333,59.10183333,2.279444444,3.221111111,3.446111111,49.17855556,95.60405556,99434.39333,3.826,24.3075,4.918833333,1.9965,4.918833333,5.382,3.5885,1.794166667,75.52833333
2020-05-11 12:00,10.67044444,56.11072222,2.568888889,3.639444444,3.839444444,48.647,85.89811111,99451.20611,2.444333333,21.55516667,5.917,1.754,5.917,5.100166667,2.863666667,2.236166667,65.322
2020-05-11 13:00,11.31677778,49.80444444,1.108888889,1.732777778,1.864444444,44.78483333,82.30972222,99446.49389,1.817666667,22.02516667,7.137,1.499,7.137,4.107166667,1.730666667,2.377333333,55.12966667
2020-05-11 14:00,12.65661111,41.38994444,1.622777778,2.016666667,2.136111111,42.85172222,79.53183333,99479.13611,1.385666667,23.29783333,7.474333333,1.6835,7.474333333,4.480666667,1.632833333,2.849166667,49.96583333
2020-05-11 15:00,14.486,34.88366667,0.271666667,0.478888889,0.551111111,44.02261111,69.47938889,99502.13,1.2975,25.62216667,7.480666667,1.1195,7.480666667,6.234,2.644333333,3.591833333,48.2765
2020-05-11 16:00,14.85983333,32.38516667,0.665555556,1.482222222,1.673333333,47.26738889,67.64694444,99517.15556,1.3795,27.016,7.660166667,1.062166667,7.660166667,9.113,4.056333333,5.056166667,47.16233333
2020-05-11 17:00,14.62472222,31.89372222,2.115555556,3.878333333,4.198333333,48.429,70.60961111,99536.54667,1.605666667,25.46333333,6.374166667,0.654833333,6.374166667,9.947166667,4.988166667,4.958833333,49.87033333
2020-05-11 18:00,12.56388889,35.381,7.95,11.34833333,11.93666667,48.51005556,64.75788889,99567.09111,2.124333333,23.443,5.268166667,0.632333333,5.268166667,9.358,5.6325,3.7245,52.221
2020-05-11 19:00,10.29766667,39.25194444,6.672222222,9.763333333,10.48166667,49.05783333,76.79761111,99603.17333,3.017333333,21.70733333,3.982833333,0.562666667,3.982833333,8.131666667,4.660666667,3.4715,55.377
2020-05-11 20:00,8.457111111,42.3275,11.64777778,15.42611111,16.34,48.16116667,78.97716667,99643.455,4.819666667,19.91116667,2.990333333,0.648666667,2.990333333,9.126,4.050333333,5.077,57.94533333
2020-05-11 21:00,6.706833333,45.71272222,10.61777778,12.70277778,13.61611111,48.06488889,81.99961111,99701.21778,4.9225,19.18383333,1.8595,0.465166667,1.8595,7.147333333,3.7685,3.378833333,60.9565
